description,itemId
"Trên đoạn đường gạch gòi bé Long xuyên hướng xuống cần thơ chú em nhặt được các giấy tờ như hình , mọi người biết bé này thì liên hệ cho bé nhận lại giấy tờ ạ",17
"Hiện tại em vừa mới làm rơi 1 cái bóp nhỏ trong khoảng từ đoạn đường từ cây xăng Cổng A Đại học Cần Thơ về tới TP. Mỹ Tho, Tỉnh Tiền Giang. Trong bóp gồm có Cccd, bằng láy xe: TRUONG MAI AN BINH; 3 thẻ Ngân hàng và tiền mặt: 215.000₫. ",16
Tôi bị mất 1 chiếc điện thoại ở phòng 404/D2,8
"Chào mn mình bị rớt bóp tiền và một số giấy tờ tuỳ thân, tên là Nguyễn Hoài An. Mình có bị mất từ  cầu rạch ngỗng 2 gần quán gu 22 Mn ai nhặt được cho mình xin nhận lại, mình cảm ơn và hậu tạ.",16
"Mới lụm,phòng 101 c1,của ai,liên hệ,nhận lại,no need thank you",19
Mìn có lặt được thẻ sinh viên này bạn nào  đánh lọt thì liên hệ mìn nhe,13
Tôi đã nhặt được thẻ sinh viên tên: TRI TU NGAN Khoá: 47,13
" Mình có gửi lại cho chú bảo vệ ở trước. Ai mất thì lại lấy,  khoảng 9h25p.",15
Ai bỏ quên cái này tui để ở bàn giáo viên phòng 115/k1 nhe.,1
"Dạ cho em xin kể cái này
Vào hôm chủ nhật em có đi tham quan trường mình, mà xui sao chắc là thấy trường đẹp quá em về rồi mà cọng dây quần nó vẫn còn lưu luyến ở lại 🥲, lúc ở hồ sen này em nhớ vẫn còn
Xong từ khúc đó đi ra cổng thì em có vào căn tin mua đồ, chắc nó đã rời bỏ em từ khúc đó 🥲không biết có anh chị nào đi qua khúc này nhìn thấy em nó kh ạ",1
"Hôm qua ngày 21/3 lúc 20h45 trong tthl e có bỏ quên cục sạc iphone ở tầng trệt dãy máy tính ngoài đối diện cửa sổ, mn có ai thấy hong cho e xin lại với ạ, e xin hậu tạ và cảm ơn ạ😭",1
"xin chào anh chị và các bạn, em là sinh viên Khoa Khoa học Xã hội và Nhân văn. hôm chủ nhật, ngày 31/3/2024 nhóm khoa em đánh bóng chuyền giải cấp trường vào lúc 2h00 phút chiều và có bỏ quên bọc đồ sau lưng có chữ Khoa KHXHVNV tại nhà thi thi đấu mới ngay cửa vào sân sau chỗ bàn ngồi ở phía trong nhà. Anh/chị và các bạn ai có giữ liên hệ giúp em qua bình luận ạ. Em xin cảm ơn.",1
"Góc nhầm đồ!!!!!!!
Hôm nay, tại nhà xe sân khấu Đoàn Khoa có bạn để nhầm đồ trên xe mình, của bạn nào thì inbox mình gửi lại nhaaaa",1
2 món này đang ở phòng 104 khoa khtn,13
Hiện tại ở phòng 108/C1 mình có giữ cả nước của bạn nào đó bỏ quên. Nhận lại thì in nick Facebook của mình,20
